,Machine,Encode,Threshold,Sensitivity,Specificity,Precision,Accuracy,MCC,F1,AUC,AUPRC
0,LGBM,prott5,0.432,0.9044093222849654,0.935278169298584,0.9334048806446974,0.9198364862512564,0.8404475924331605,0.9184592450185102,0.971032300689738,0.9736965788213734
152,CNN,prott5,0.5800000000000001,0.9065105171964916,0.9367729308998196,0.935121819596309,0.921636035914627,0.8441553067001974,0.9203122228108396,0.9704236155898835,0.9724216027544754
13,LGBM,EAAC,0.632,0.8912204077601917,0.9406736751384788,0.938236901954166,0.91593978291753,0.8337173623767834,0.9136079901298771,0.9697251415588924,0.9712556305334396
156,CNN,W2V_2_128_100_40_1,0.404,0.9055939096320104,0.9280674034240364,0.927685951162426,0.9168410176934004,0.8349670294931991,0.9158781927124576,0.9687716049147588,0.9707026216006496
18,LGBM,W2V_2_128_100_40_1,0.6279999999999999,0.8897242995268833,0.9403697851672966,0.9375263410198602,0.9150418049402266,0.8315795099220729,0.91272601986301,0.9684313915455168,0.9702725721835868
14,LGBM,BLOSUM62,0.456,0.909490165097092,0.9238874574688702,0.9232143726364244,0.9166897450151328,0.8341704521561761,0.9158863296678452,0.9679914560670272,0.9706411870546908
17,LGBM,W2V_1_128_100_40_1,0.6199999999999999,0.8945219007262836,0.9325849051522144,0.9303648251936346,0.9135439022062004,0.8282117956676485,0.9117849813098404,0.9677590459454308,0.970377712155696
140,TX,prott5,0.488,0.9130933036475776,0.9151922541723152,0.9158918914075512,0.9141440515697208,0.8292943295119549,0.9139423795180256,0.9667082496242116,0.9666536112596984
16,LGBM,AAINDEX,0.752,0.8837219114993401,0.9406651464686816,0.9370406194894528,0.912194576868869,0.8257744934742608,0.9095656052437638,0.9667041047431828,0.9689370504380964
15,LGBM,ZSCALE,0.6,0.890013825422618,0.9286837120361976,0.9258772630287382,0.9093470118873148,0.8195097089915204,0.9074597923790908,0.9666202747094434,0.969662662153136
154,CNN,NN,0.472,0.8909219043173024,0.9265775794737362,0.9240014904173182,0.9087502316257602,0.8181670705012237,0.9070724858404976,0.9637518423992808,0.9664675446128695
153,CNN,BE,0.576,0.8789440609036798,0.9319753297004192,0.9284079247085396,0.9054550252963406,0.8124770804362699,0.9027188036627808,0.963643996080944,0.965912026615562
